Mito,Mito-IMS,Mito-Matrix,Mito-MIM,Mito-MOM,OXPHOS,mtComplexI,PlasmaMembrane,Golgi,Lysosome,LysoTMs,ER,Endosome,EndoType,Cytoplasm,Nucleus,Autophagy,Autophagy_det,SynGO,Endo_iN_curated_Hundley,SynapseSVs,Presynaptic,Postsynaptic,EndoDetailed,EndoDetailLoac,NeuroDev,EndoLyso,EarlyEndosome,RecyclingEndosome,SVfusion,Svendocytosis,Svexocytosis
ACAA1,TRIAP1,LRPPRC,PDK4,ATAD1,NDUFA1,NDUFA11,ABHD2,ARSE,ATP6V1E2,0,REEP2,AP1G2,early_endosome,ACOT1,SENP7,ATG5,Core,ACAN,WDR91,AP2B1,ATG9A,AGAP2,VPS35,late,NES,WDR91,AP3D1,ATP9A,RDX,ATP8A1,MCTP2
ACAA2,AK2,DLST,MPC2,MFN2,COX7A2P2,NDUFA9,ACVR1B,ATP2C1,ATP6V1F,0,REEP3,AP1M1,early_endosome,ACOT12,TUBA1C,ATG7,Core,ACHE,CTSB,AP2M1,BACE1,AGO2,VPS33A,late,POU3F2,CTSB,AP3D1,BICD1,RIMBP2,BCL2L1,NCS1
ACACA,PRELID3B,PDHX,NDUFS1,CPT1A,NUPR1,NDUFA12,ACVR2B,B3GALNT1,ATP6V1G1,0,REEP5,AP1S1,early_endosome,ACOT6,AQR,ATG9A,Core,ACP4,ARL8A,AP2S1,BIN1,AKT1,VPS26B,late,POU5F1,ARL8A,AP3S1,CCNY,RIMS1,BIN1,NPY
ACACB,CHCHD7,GFM1,ATP5F1E,VDAC3,NDUFB6,NDUFS3,ACVRL1,B3GALNT2,ATP6V1G2,0,REEP4,AP1S2,early_endosome,ACOT7L,FEN1,BAG3,Other,ACTB,VTI1B,AP3B2,CACNA2D3,ALK,VPS35,late,SLC17A7,VTI1B,AP4B1,CD302,RIMS2,BLTP1,NPY1R
ACAD10,ENDOG,MRPL46,SLC25A3,MTCH1,NDUFV2,NDUFB7,ADAM15,B3GALT1,ATP6V1G3,0,REEP6,AP1S3,early_endosome,ACP1,HINFP,BCL2L13,Receptor,ACTBL2,PSAP,AP3D1,CACNB1,ANK3,TMEM59,late,SOX2,PSAP,AP4E1,CDK16,SHISA6,BTBD8,OTOF
ACAD11,C16orf91,MRPS23,ATP5F1B,AKAP1,NDUFC2-KCTD14,NDUFA5,ADAM17,B3GALT2,ATP6V1H,0,LNP,AP3D1,early_endosome,ACSS2,WDR77,BECN1,Receptor,ACTC1,SNX16,AP3M2,CACNB4,ANKS1B,VPS29,late,SYN1,SNX16,AP4S1,CEMIP2,SLC12A5,CANX,P2RX1
ACAD8,COX19,FH,UQCR10,RMDN1,UQCRC2,NDUFS7,ADAM22,B3GALT4,BORCS8,0,ZFYVE27,AP3D1,early_endosome,ACY1,MAPKAP1,BNIP3L,Receptor,ACTG1,TMEM63B,AP3S1,CADM1,AP3D1,RAB22A,late,SYP,TMEM63B,APLP2,CERK,STX12,CAPN2,P2RX2
ACAD9,GFER,PMPCA,COQ3,RHOT2,NDUFS4,NDUFS5,ADAM9,B3GALT5,CCZ1,0,CKAP4,AP3S1,early_endosome,ADH1A,HOPX,CALCOCO2,Receptor,ACTN1,FLOT1,AP3S2,CADPS,APC,CLCN3,late,TUBB3,FLOT1,APOB,CMTM4,STX1B,CLTA,P2RY1
ACADL,NDUFAF8,SDHAF4,COX11,SLC25A46,NDUFV1,NDUFB5,ADCY5,B3GALT6,CCZ1B,0,KTN1,AP4B1,early_endosome,ADH1B,ECSIT,CCPG1,Receptor,ACTN2,NAGA,ARF6,CADPS2,APC2,LDLR,late,TH,NAGA,APOC3,CMTM7,STX6,CLTB,P2RY2
ACADM,ATP23,ISCA1,ETFDH,FUNDC2,COX7A1,NDUFA2,ADCY6,B3GAT1,CLCN3,10,RRBP1,AP4E1,early_endosome,ADH1C,FAM110A,CDK5RAP3,Receptor,ACTN4,LGALS3BP,ARHGDIA,CALY,APPL1,SNX2,late,BSN,LGALS3BP,APP,COLEC12,STX7,CLTC,P2RY4
ACADS,DIABLO,SUCLA2,TIMM10,TOMM6,TEFM,MT-ND6,ADCY9,B3GAT2,CLCN7,10,ARL6IP1,AP4S1,early_endosome,ADH4,TBL1Y,CHMP2B,Other,ACTR2,NCSTN,ARL8A,CAP1,ARF4,TSG101,late,SYNJ1,NCSTN,APP,CRACR2A,SYT1,CTBP1,PPFIA2
ACADSB,PRELID3A,IARS2,BCKDHA,ABCB6,NDUFV3,MT-ND5,ADCYAP1R1,B3GAT3,CLN1,0,DNAJC5,APBB2,recycling_endosome,ADH5,MACROD1,CHMP4B,Other,ACTR3,RAB11FIP5,ARL8B,CAPN1,ARF6,AP1AR,late,GAP43,RAB11FIP5,ARFGEF2,CSNK1G2,SYT2,CTSD,PPFIA3
ACADVL,CHCHD5,MRPS15,UQCRH,TOMM70,ACTN3,MT-ND4,ADGRA2,B3GNT2,CLN3,0,ENDOD1,APLP2,early_endosome,ADH6,GRWD1,EGFR,Other,ADAM10,LAMTOR1,ARPC2,CASK,ARFGEF2,SNX1,late,PSD95,LAMTOR1,ATG2B,CSNK1G3,SYT7,CXADR,PRKCA
ACAT1,CHCHD2,IDH3A,HIGD2A,KMO,ATP5F1B,MT-ND4L,ADGRB2,B3GNT3,CLN5,1,OSBPL3,APOB,early_endosome,ADH7,USB1,EIF4G1,Other,ADAM22,SPAG9,ARPC3,CASKIN1,ARHGAP12,WDR91,Early,VGLUT,SPAG9,ATP6V0D2,ECE1,SYT9,DGKQ,PRKCB
ACCS,PRELID1,MRPL34,ATP5PO,CPT1B,AFG1L,NDUFAB1,ADGRB3,B3GNT4,CLN8,0,PTPN2,APOC3,early_endosome,ADSS1,ELAC2,ERBB2,Other,ADAM23,BLOC1S1,ATG7,CBLN1,ARHGAP22,SNX16,Early,SYN2,BLOC1S1,ATP6V1A,FCGRT,VAMP1,DIAPH1,PRKCG
ACLY,FAM136A,MRPL2,COX6A1,FIS1,NDUFA8,NDUFB11,ADGRD1,B3GNT5,CTBS,0,RAB18,APP,early_endosome,AFAP1L2,NR4A1,FUNDC1,Receptor,ADCY1,RAB11FIP2,ATG9A,CD2AP,ARHGAP33,STX8,Early,SYN3,RAB11FIP2,ATP6V1B2,GFOD1,VAMP4,DNM1,RELN
ACO2,CAT,ECHS1,COX15,TOMM5,NDUFB9,NDUFA13,ADGRE1,B3GNT6,CTNS,7,SEC22B,APP,early_endosome,AFTPH,NABP2,FYCO1,Other,ADCY8,SLC11A2,ATM,CD44,ARHGAP39,VPS18,Early,NGN,SLC11A2,ATP6V1C1,GFOD2,VTI1A,DNM1L,SLC4A8
ACOD1,STARD7,ETFA,AFG3L2,OPA3,NDUFB1,WDR93,ADGRE2,B3GNT7,CTSA,0,FKBP10,ARFGEF2,early_endosome,AGAP1,PRDM2,GABARAP,Core,ADCYAP1,SIDT2,ATP6AP1,CD47,ARHGEF15,VPS16,Early,,SIDT2,ATP6V1D,GPRC5B,ZDHHC2,DNM2,SNAP25
ACOT11,COA4,IDH3B,HADHA,ACSL6,PDE12,MT-ND3,ADGRF5,B3GNT8,CTSB,0,P4HB,ARHGAP10,recycling_endosome,AGBL1,CDKN1C,GABARAPL2,Core,ADD1,STX8,ATP6AP2,CDK5R1,ARHGEF2,VPS41,Early,,STX8,ATP6V1E1,ITFG1,,DNM3,SNAP29
ACOT13,HEBP1,LARS2,NDUFS7,CYB5B,COX4I1,MT-ND2,ADGRG2,B3GNT9,CTSC,0,RCN2,ARL13B,recycling_endosome,AGBL3,LIG4,GOPC,Other,ADD2,ATP6V1A,ATP6V0A1,CDK5R2,ARPC2,VPS26A,Early,,ATP6V1A,ATP6V1F,ITGB1BP1,,EHD1,SNAPIN
ACOT2,FASN,ACADS,CPT2,RHOT1,COX8C,MT-ND1,ADGRG3,B4GALNT1,CTSD,0,TXNDC12,ATG2B,early_endosome,AHCY,LIG3,HDAC6,Other,ADGRA1,TMEM9,ATP6V0A4,CLSTN3,ASAP1,VPS35,Early,,TMEM9,ATP6V1G1,KIAA1549,,EPN1,STX1A
ACOT7,SOD1,AUH,BCKDHB,RAB24,UQCC3,NDUFB10,ADGRG5,B4GALNT2,CTSF,0,ALG6,ATP11A,recycling_endosome,AHSP,ZFC3H1,HGS,Other,ADGRB1,CD63,ATP6V0C,CNR1,ASIC1,VPS33A,Early,,CD63,ATP6V1H,LDLR,,EPS15;EPS15L1,STX1B
ACOT9,CMC4,SUCLG1,LETM1,PTRH2,MT-ATP6,NDUFA10,ADGRG6,B4GALNT3,CTSH,0,ALG8,ATP11B,recycling_endosome,AIP,NUAK1,HIF1A,Other,ADGRB2,FLOT2,ATP6V0D1,CNRIP1,ASIC2,VPS26B,Early,,FLOT2,ATRN,LMTK2,,EPS15L1,STX3
ACP6,ARL2,MRPL43,ATP5ME,OXR1,COX5A,FOXRED1,ADGRL1,B4GALNT4,CTSK,0,BTD,ATP13A3,recycling_endosome,AK1,ST18,HSPA8,Other,ADGRB3,ATP6V1F,ATP6V0E2,CNTN5,ATAD1,VPS35,Early,,ATP6V1F,AVL9,LNPEP,,FCHO2,STXBP5
ACSF2,ACP6,ABHD11,OPA1,BAX,SHMT2,NDUFAF1,ADGRL3,B4GALT1,CTSL,0,CALR,ATP6V0A1,recycling_endosome,AK5,SF3B5,ITGB1,Other,ADGRL1,STX7,ATP6V1A,CNTN6,ATP1A3,TMEM59,Early,,STX7,B4DKH5[p],LRP1,,ITSN1,STXBP5L
ACSF3,TAZ,LONP1,NDUFV2,MAVS,SDHC,NDUFS6,ADGRL4,B4GALT2,CTSO,0,CALU,ATP6V0D1,recycling_endosome,AK8,RBM4,LGALS3,Receptor,ADGRL2,ATP6V1C1,ATP6V1B1,CPEB2,ATR,VPS29,Early,,ATP6V1C1,B7Z3S5[p],LRP2,,KCNC3,SV2B
ACSL1,FBXL4,DLD,COQ6,ACACB,UQCRC1,NDUFS2,ADGRV1,B4GALT3,CTSS,0,CCDC134,ATP6V0D2,early_endosome,AKAP14,HUS1,LGALS8,Receptor,ADGRL3,RAB12,ATP6V1B2,CPLX1,BAIAP2,RAB22A,Early,,RAB12,BAG6,MICALL1,,LRRK2,SV2C
ACSL6,COA7,ECHDC3,ATP5PF,DNM1L,ATP5PO,NDUFA7,ADIPOR1,B4GALT4,CTSV,0,CNPY2,ATP6V1A,early_endosome,AKR1B1,OCRL,MAP1LC3A,Core,ADORA1,VPS18,ATP6V1C1,CPLX2,BCL11A,CLCN3,Early,,VPS18,BECN1,MRC2,,MYLK,SYT7
ACSM1,PANK2,MRPL10,NDUFB8,AHCYL1,SLC25A51,NDUFB2,ADIPOR2,B4GALT5,CTSZ,0,COL4A2,ATP6V1B2,early_endosome,AKR1C1,BNC1,MAP1LC3B,Core,ADORA2A,VPS16,ATP6V1D,CRMP1,BEGAIN,LDLR,Early,,VPS16,BLOC1S3,MYADM,,OPHN1,TPRG1L
ACSM2A,PRDX4,MRRF,AIFM1,MTARC1,COX6A1,NDUFB8,ADORA1,B4GALT6,DNAJC5,0,COLGALT1,ATP6V1C1,early_endosome,AKR1C2,INTS3,MTOR,Core,ADORA2B,ATP6V1H,ATP6V1E1,DAAM1,BIN1,SNX2,Early,,ATP6V1H,BLOC1S4,NHERF2,,PACSIN1,UNC13A
ACSM2B,CASP9,ACADM,APOOL,FUNDC1,STOML2,NDUFB4,ADORA2A,B4GALT7,DNASE2,0,CRTAP,ATP6V1D,early_endosome,AKR1C3,ZNF804A,NBR1,Receptor,ADORA3,PI4K2A,ATP6V1F,DBNL,BRAF,TSG101,Early,,PI4K2A,BLOC1S6,NKIRAS2,,PARK7,UNC13B
ACSM3,GOLPH3,ACO2,NDUFS8,ACSL1,FXN,NDUFA3,ADORA2B,B4GAT1,DNASE2B,0,DNAJB11,ATP6V1E1,early_endosome,AKR1C4,NFKB1,NCOA4,Receptor,ADRA1A,ATP6V1E1,ATP6V1G1,DCX,C9ORF72,AP1AR,Early,,ATP6V1E1,BLTP3A,PACC1,,PICALM,UNC13C
ACSM4,CEP89,SUPV3L1,IMMT,PGAM5,ATP5PD,NDUFC1,ADORA3,BET1,DPP7,0,DNAJC10,ATP6V1F,early_endosome,AKR1C8P,MSL1,NLRX1,Receptor,ADRA2A,ATP6V1B2,ATP6V1G2,DDN,CABP1,SNX1,Early,,ATP6V1B2,BLTP3B,PACSIN3,,PIK3C3,VAMP2
ACSM5,NBR1,MTIF2,TIMM9,STAR,UQCRFS1P1,NDUFB3,ADRA1D,BET1L,DRAM1,6,DNAJC3,ATP6V1G1,early_endosome,AKR1D1,FOXR1,OPTN,Receptor,ADRA2C,DNAJC5,ATP6V1H,DGKQ,CACNB1,LAMTOR2,late,,DNAJC5,BRCA2,PODXL,,PIP5K1C,VAMP7
ACSS1,FKBP10,HIBCH,SLC25A4,PINK1,MLXIPL,,ADRA2A,BICD1,DRAM2,6,EDEM3,ATP6V1H,early_endosome,AKR1E2,TIPIN,PEX13,Other,ADRB1,ATP6V1G1,ATP8A1,DISC1,CALB1,NPC1,late,,ATP6V1G1,C12orf4,PODXL2,,PPP3CB,VPS18
ACSS3,CASP3,MRPS2,NDUFS2,BCL2L13,NDUFA9,,ADRA2C,C17orf75,EPDR1,0,EOGT,ATP8B2,recycling_endosome,AKR7A3,SPSB3,PEX14,Other,ADRB2,BLOC1S2,ATR,DNM3,CALD1,STARD3,late,,BLOC1S2,C15orf38-AP3S2,PTPRJ,,PPP3CC,WNT7A
ADCK1,SNAP29,HSPA9,NDUFV1,GDAP1,MT-CO3,,ADRB3,CASD1,FUCA1,0,ERAP1,ATP9A,recycling_endosome,AKT1S1,HIRIP3,PEX3,Other,AFDN,BORCS7,BCL2L1,DOCK1,CAMK4,LAMTOR3,late,,BORCS7,C1orf159,Q59FF5[p],,PRKN,MCTP1
ADCK2,,PRDX3,FECH,TSPO,NDUFA12,,ADTRP,CCDC91,GAA,0,ERLEC1,ATRN,early_endosome,ALDH1A1,LINC-PINT,PEX5,Other,AGAP1,VPS41,BIN1,DPYSL2,CAMKV,LAMP1,late,,VPS41,CCDC22,RAB11B,,RAB11A,
ADCK5,,GUF1,PHB,AGPAT5,NDUFS3,,AGAP3,CERT,GALC,0,ERO1A,AVL9,early_endosome,ALDH1A2,CCDC174,PIK3C3,Core,AGAP2,ATP6V1G2,BLOC1S1,DSTN,CAP1,ARL8B,late,,ATP6V1G2,CCDC93,RAB11FIP1,,RAB27B,
ADCY10,,LYRM4,SURF1,MUL1,NDUFB7,,AGFG1,CHPF2,GALNS,0,ERP29,B4DKH5[p],early_endosome,ALDH1A3,ZNF423,PIK3R4,Core,AGAP3,BORCS5,BLOC1S6,DVL1,CAP2,ARL8A,late,,BORCS5,CHM,RAB11FIP2,,RAB35,
ADHFE1,,MRPL16,GHITM,BID,COA6,,AGTR1,CHPT1,GBA1,0,FKBP14,B7Z3S5[p],early_endosome,ALDH1L1,ANXA4,PINK1,Other,AGO2,NAPG,BLTP1,EFNB1,CAPN1,LAMTOR1,late,,NAPG,CHML,RAB11FIP5,,RAB5A,
AFG1L,,MRPL40,TIMM13,SYNJ2BP,COX5B,,AGTR2,CHST1,GLA,0,FKBP2,BAG6,early_endosome,ALDH3A1,EIF5B,PLEKHM1,Core,AGRN,VPS26A,BRSK1,EFNB2,CAPN2,TMEM9,late,,VPS26A,CHMP2A,RAB32,,RAC1,
AFG3L2,,IDH3G,SDHC,MFF,MT-CO2,,AIDA,CHST10,GLB1,0,FKBP9,BECN1,early_endosome,ALDH8A1,DKC1,PRKN,Other,AKAP1,ATP6V1D,BSN,EHD1,CAPRIN1,CD63,late,,ATP6V1D,CHMP2B,RALGAPA1,,SCAMP5,
AGK,,SDHAF2,NDUFB5,VPS13D,ATP5F1EP2,,AIG1,CHST11,GLMP,1,FNDC3A,BICD1,recycling_endosome,ALDH9A1,PAGE4,PTEN,Other,AKAP12,VPS35,BTBD8,EIF4EBP1,CARMIL3,VAMP7,late,,VPS35,CHMP4B,RALGAPA2,,SCRIB,
AGMAT,,GATD3A,COQ10A,BAK1,MT-CO1,,AJAP1,CHST12,GM2A,0,FNDC3B,BLOC1S3,early_endosome,ALOXE3,H2BC12,RAB11A,Other,AKAP5,TOM1,C9ORF72,EPB41L1,CASK,RAB7A,late,,TOM1,CLINT1,RALGAPB,,SGIP1,
AGPAT4,,TXN2,COX6C,MAOB,NDUFA5,,AJM1,CHST13,GNS,0,GANAB,BLOC1S4,early_endosome,ALPK1,POU5F1,RAB1A,Other,AKAP7,EEA1,CACNA1B,EPHA3,CASKIN1,PIK3R4,late,,EEA1,CLTA,SCAMP1,,SH3GL2,
AGPAT5,,MRPS18A,NDUFB9,MGST3,COQ9,,AKAP7,CHST14,GPR137B,7,HSP90B1,BLOC1S6,early_endosome,ALS2CL,RXRA,RAB24,Other,AKAP9,VPS33A,CACNA1E,EPS15L1,CBLB,KIDINS220,late,,VPS33A,CLTB,SCAMP2,,SNAP91,
AGXT,,MRPL1,NDUFA6,CYB5R3,NDUFS7,,ALCAM,CHST15,GRN,0,HSPA5,BLTP3A,early_endosome,ANKHD1,CSNK2A2,RAB33B,Other,AKR1A1,VPS26B,CACNB4,EXOC7,CC2D1A,VPS13C,late,,VPS26B,CLTC,SCAMP3,,SNCA,
AGXT2,,SOD2,SLC25A20,BNIP3,NDUFS5,,ALDH3B1,CHST2,GUSB,0,HYOU1,BLTP3B,early_endosome,AOX1,C2orf49,RAB5A,Core,AKT1,RAB9B,CADPS,FAAH,CD44,VPS37B,late,,RAB9B,CLTCL1,SCAMP4,,SNCB,
AHCYL1,,CLPP,TIMM44,MTX3,NDUFB5,,ALDOA,CHST3,HEXA,0,IKBIP,BRCA2,early_endosome,APAF1,XPC,RAB7A,Core,ALDOC,VPS35,CADPS2,FARP1,CDC42,CHMP2B,late,,VPS35,COCH,SEMA4C,,SNX9,
AIFM1,,HADH,MICOS10,OCIAD1,NDUFA2,,ALDOC,CHST4,HEXB,0,KDELC1,C12orf4,early_endosome,APEH,SATB1,RAC1,Other,ALK,TBC1D23,CALCRL,FBXL20,CDH1,CHMP6,late,,TBC1D23,COMMD1,SERPINF1,,STON2,
AIFM2,,ACAT1,COX6B1,SMIM8,TAFAZZIN,,ALG10B,CHST5,HGSNAT,11,KDELC2,C15orf38-AP3S2,early_endosome,APIP,CCNT1,RB1CC1,Core,ALS2,SPG21,CAMK2A,FBXO45,CDK5,VPS4A,late,,SPG21,COMMD10,SFN,,SYNJ2,
AIFM3,,MALSU1,ACADL,FKBP8,UQCRFS1,,ALK,CHST6,HYAL1,0,LGALS3BP,C1orf159,early_endosome,APOBEC1,SMARCD3,RETREG1,Receptor,AMOT,NSF,CANX,FLOT1,CDKL5,CHMP4B,late,,NSF,COMMD2,SIRPA,,SYT11,
AK2,,CLPX,NDUFS4,MARCHF5,DNAJC15,,ALPG,CHST7,IDS,0,MANF,CCDC22,early_endosome,APOL2,SYNCRIP,RPTOR,Other,AMPH,AGTRAP,CAPN2,FMR1,CHMP2B,CHMP2A,late,,AGTRAP,COMMD3-BMI1,SLC12A6,,SYT7,
AK3,,MRPL4,UQCC1,RMDN3,UQCR10,,ALPI,CHST8,IDUA,0,MESD,CCDC93,early_endosome,APOL3,RHNO1,RUBCN,Core,ANK3,ATP6V0D1,CASK,FZD1,CHMP4B,VPS4B,late,,ATP6V0D1,COMMD4,SLC1A1,,TBC1D24,
AK4,,C1QBP,ABCB8,MAOA,UQCRH,,ALPK2,CHST9,ITFG2,0,MINPP1,CCNY,recycling_endosome,APOL5,OGA,SH3GLB1,Other,ANKS1B,ATP6V0C,CASP3,FZD5,CNKSR2,RAB11FIP5,Recycling,,ATP6V0C,COMMD5,SLC35F1,,VAMP4,
AKAP1,,PITRM1,NDUFA9,TOMM20,MT-ATP8,,ALPL,CHSY1,KCDT5,0,MTDH,CD302,recycling_endosome,APOL6,SKIL,SIRT1,Other,ANO1,ATP6V0A1,CDK16,GAD1,CNN3,ATP11C,Recycling,,ATP6V0A1,COMMD6,SLC35F2,,VPS29,
AKAP10,,MRPL55,ATP5F1C,MIEF1,MT-ND6,,ALPP,CHSY3,KPTN,0,MYDGF,CDK16,recycling_endosome,APRT,SKI,SIRT2,Other,ANO2,KIF16B,CDK5R1,GAD2,COMT,ATP11B,Recycling,,KIF16B,COMMD7,SLCO4C1,,VPS35,
AKR1B10,,MRM1,NDUFAF4,BNIP3L,MT-ND5,,AMER2,COG1,KXD1,0,NENF,CEMIP2,recycling_endosome,ARAP2,TFEB,SQSTM1,Receptor,ANO6,ATP7A,CLCN3,GAP43,CPEB1,STX12,Recycling,,ATP7A,COMMD8,SMIM1,,,
AKR7A2,,MECR,SLC25A35,PARK7,MT-ND4,,AMER3,COG2,LAMP1,1,NFXL1,CERK,recycling_endosome,AREL1,FLI1,STBD1,Receptor,ANP32E,RAB2A,CLTA,GIPC1,CPEB2,RAB14,Recycling,,RAB2A,COMMD9,STEAP3,,,
ALAS1,,MRPL44,SLC25A11,USP30,MT-ND4L,,AMIGO1,COG3,LAMP2,1,NPTX1,CHM,early_endosome,ARHGAP1,TRIM21,STK11,Other,ANXA1,NAPA,CLTB,GIT1,CPEB3,ATP9A,Recycling,,NAPA,CPE,STX12,,,
ALAS2,,HSDL2,TIMM8B,NME3,UQCRQ,,ANO10,COG4,LAMTOR1,0,P3H1,CHML,early_endosome,ARHGAP18,ELK1,STX17,Core,ANXA5,ATP6V0A2,CLTC,GIT2,CPEB4,RAB4A,Recycling,,ATP6V0A2,CRYZL1,STX3,,,
ALDH18A1,,MRPS14,PHB2,CPT1C,COX6A2,,ANO2,COG5,LAMTOR2,0,P3H4,CHMP2A,early_endosome,ARHGAP6,DHX9,TAX1BP1,Receptor,AP1B1,AP3D1,CPLX1,GNA11,CPLX1,RNF11,Recycling,,AP3D1,CUL3,STX7,,,
ALDH1B1,,ATPAF2,NDUFAF5,MIGA2,NDUFAB1,,ANO3,COG6,LAMTOR3,0,P4HA1,CHMP2B,early_endosome,ARHGDIA,RAD9B,TBK1,Other,AP1G1,VAMP7,CPLX2,GNAI2,CPLX2,CMTM6,Recycling,,VAMP7,DCTN6,SYT1,,,
